psgc_code,name,corr_code,geo_level,city_class,inc_class,urb_rur,pop_2015,pop_2020,status,adm3_pcode,adm3_en,adm3_alt,adm2_pcode,adm1_pcode,adm0_pcode,shape_len,shape_area,shape_sqkm,_count,_sum,_mean,_min,_max,_variance,year
907224000,Baliguian,97224000.0,Mun,,,3rd,,,,PH0907224,Baliguian,,PH09072,PH09,PH,1.04435499665,0.0320929443423,391.457603087,1854.0,0.04520554095506668,2.438270817425387e-05,0.0,0.02438528835773468,5.539498236211816e-07,2011
907225000,Godod,97225000.00000001,Mun,,,4th,,,,PH0907225,Godod,,PH09072,PH09,PH,0.879612152532,0.0194841780032,237.563442192,1131.0,0.0,0.0,0.0,0.0,0.0,2011
907226000,Leon T. Postigo,97226000.0,Mun,Bacungan,,4th,,,,PH0907226,Bacungan (Leon T. Postigo),Leon T. Postigo,PH09072,PH09,PH,0.951152722422,0.0205569880376,250.606441181,1184.0,0.0,0.0,0.0,0.0,0.0,2011
907227000,Kalawit,97227000.0,Mun,,,4th,,,,PH0907227,Kalawit,,PH09072,PH09,PH,0.836872040444,0.0204057455625,248.824340491,1179.0,0.0,0.0,0.0,0.0,0.0,2011
907302000,Aurora,97302000.0,Mun,,,2nd,,,,PH0907302,Aurora,,PH09073,PH09,PH,0.80405236536,0.0131574512457,160.44084199,753.0,0.02456115931272507,3.261774145116211e-05,0.0,0.01893530786037445,5.171247792654317e-07,2011
907303000,Bayog,97303000.0,Mun,,,3rd*,,,,PH0907303,Bayog,,PH09073,PH09,PH,0.963291150997,0.0217522457503,265.276442666,1250.0,0.0,0.0,0.0,0.0,0.0,2011
907305000,Dimataling,97305000.0,Mun,,,4th,,,,PH0907305,Dimataling,,PH09073,PH09,PH,0.862810001576,0.00902700697936,110.181271711,525.0,0.0,0.0,0.0,0.0,0.0,2011
907306000,Dinas,97306000.0,Mun,,,4th,,,,PH0907306,Dinas,,PH09073,PH09,PH,1.01298014626,0.013638857451,166.435678401,786.0,0.0,0.0,0.0,0.0,0.0,2011
907307000,Dumalinao,97307000.00000001,Mun,,,4th,,,,PH0907307,Dumalinao,,PH09073,PH09,PH,0.713767087536,0.0104200084754,127.112978146,598.0,0.0,0.0,0.0,0.0,0.0,2011
907308000,Dumingag,97308000.0,Mun,,,2nd,,,,PH0907308,Dumingag,,PH09073,PH09,PH,0.913875946683,0.0249214848083,303.734650088,1429.0,0.0,0.0,0.0,0.0,0.0,2011
907311000,Kumalarang,97311000.0,Mun,,,4th*,,,,PH0907311,Kumalarang,,PH09073,PH09,PH,0.678300051957,0.0110018160774,134.209951214,634.0,0.0,0.0,0.0,0.0,0.0,2011
907312000,Labangan,97311999.99999999,Mun,,,3rd,,,,PH0907312,Labangan,,PH09073,PH09,PH,0.91248727038,0.0131217899839,160.021168991,745.0,0.0,0.0,0.0,0.0,0.0,2011
907313000,Lapuyan,97313000.0,Mun,,,3rd,,,,PH0907313,Lapuyan,,PH09073,PH09,PH,0.925591299841,0.0128178605778,156.396661787,731.0,0.0,0.0,0.0,0.0,0.0,2011
907315000,Mahayag,97315000.0,Mun,,,3rd*,,,,PH0907315,Mahayag,,PH09073,PH09,PH,0.813067005046,0.015195605122,185.202721602,876.0,0.01144868135452271,1.306927095265149e-05,0.0,0.01144868135452271,1.494551128295934e-07,2011
907317000,Margosatubig,97316999.99999999,Mun,,,3rd,,,,PH0907317,Margosatubig,,PH09073,PH09,PH,0.874284817693,0.00691449435384,84.3879566164,400.0,0.0,0.0,0.0,0.0,0.0,2011
907318000,Midsalip,97318000.0,Mun,,,4th*,,,,PH0907318,Midsalip,,PH09073,PH09,PH,0.795174239381,0.0230076299589,280.500145226,1328.0,0.0,0.0,0.0,0.0,0.0,2011
907319000,Molave,97319000.0,Mun,,,1st,,,,PH0907319,Molave,,PH09073,PH09,PH,0.762671842356,0.00878087007947,107.017221721,501.0,70.04408288002014,0.1398085486627149,0.0,8.485782623291016,0.755183890813919,2011
907322000,City of Pagadian,97322000.0,City,,CC,2nd,,,,PH0907322,Pagadian City (Capital),,PH09073,PH09,PH,1.23954245061,0.0225259821262,274.721828401,1298.0,169.417957007885,0.1305223089429006,0.0,16.96890830993652,1.154425144756352,2011
907323000,Ramon Magsaysay,97323000.0,Mun,Liargo,,4th*,,,,PH0907323,Ramon Magsaysay (Liargo),Liargo,PH09073,PH09,PH,0.508062287523,0.00795094968442,96.9371934897,460.0,0.0,0.0,0.0,0.0,0.0,2011
907324000,San Miguel,97324000.0,Mun,,,4th,,,,PH0907324,San Miguel,,PH09073,PH09,PH,0.554770464922,0.00758138369044,92.5025183008,440.0,0.0,0.0,0.0,0.0,0.0,2011
907325000,San Pablo,97325000.0,Mun,,,4th*,,,,PH0907325,San Pablo,,PH09073,PH09,PH,0.664484872658,0.00843682391645,102.942852436,492.0,0.0,0.0,0.0,0.0,0.0,2011
907327000,Tabina,97327000.0,Mun,,,4th,,,,PH0907327,Tabina,,PH09073,PH09,PH,0.483564348114,0.00550056872649,67.15498962,315.0,0.0,0.0,0.0,0.0,0.0,2011
907328000,Tambulig,97328000.0,Mun,,,4th*,,,,PH0907328,Tambulig,,PH09073,PH09,PH,0.902450978724,0.011370543606,138.614101605,656.0,0.0,0.0,0.0,0.0,0.0,2011
907330000,Tukuran,97330000.00000001,Mun,,,4th*,,,,PH0907330,Tukuran,,PH09073,PH09,PH,0.833122831105,0.0106620231025,130.024627449,617.0,0.0,0.0,0.0,0.0,0.0,2011
907333000,Lakewood,97333000.0,Mun,,,4th,,,,PH0907333,Lakewood,,PH09073,PH09,PH,0.727206032128,0.0166653321962,203.243218601,963.0,0.0,0.0,0.0,0.0,0.0,2011
907337000,Josefina,97337000.0,Mun,,,5th*,,,,PH0907337,Josefina,,PH09073,PH09,PH,0.380259166286,0.00427663132334,52.1154278353,244.0,0.0,0.0,0.0,0.0,0.0,2011
907338000,Pitogo,97338000.0,Mun,,,4th,,,,PH0907338,Pitogo,,PH09073,PH09,PH,0.787283259012,0.00607364053673,74.1469904179,350.0,0.0,0.0,0.0,0.0,0.0,2011
907340000,Sominot,97340000.0,Mun,Don Mariano Marcos,,5th*,,,,PH0907340,Sominot (Don Mariano Marcos),Don Mariano Marcos,PH09073,PH09,PH,0.59416838713,0.00921881565045,112.390516449,541.0,0.0,0.0,0.0,0.0,0.0,2011
907341000,Vincenzo A. Sagun,97341000.0,Mun,,,5th,,,,PH0907341,Vincenzo A. Sagun,,PH09073,PH09,PH,0.692339143943,0.00509073370405,62.1376107395,292.0,0.0,0.0,0.0,0.0,0.0,2011
907343000,Guipos,97343000.0,Mun,,,4th,,,,PH0907343,Guipos,,PH09073,PH09,PH,0.534584068611,0.00794187878309,96.8880758619,459.0,0.0,0.0,0.0,0.0,0.0,2011
907344000,Tigbao,97344000.0,Mun,,,5th*,,,,PH0907344,Tigbao,,PH09073,PH09,PH,0.51682020798,0.0101944271778,124.34106776,587.0,0.0,0.0,0.0,0.0,0.0,2011
908301000,Alicia,98301000.0,Mun,,,3rd,,,,PH0908301,Alicia,,PH09083,PH09,PH,1.18011102097,0.0119800437835,146.228541257,685.0,0.0,0.0,0.0,0.0,0.0,2011
908302000,Buug,98302000.0,Mun,,,3rd,,,,PH0908302,Buug,,PH09083,PH09,PH,0.603809507291,0.0125749686397,153.408216511,712.0,2.473350450396538,0.003473806812354688,0.0,0.3310410380363464,0.0008392996639686671,2011
908303000,Diplahan,98303000.0,Mun,,,3rd,,,,PH0908303,Diplahan,,PH09083,PH09,PH,0.705558174031,0.0101820294121,124.206279438,592.0,0.0,0.0,0.0,0.0,0.0,2011
908304000,Imelda,98304000.0,Mun,,,4th,,,,PH0908304,Imelda,,PH09083,PH09,PH,0.410569586576,0.00693624768668,84.6399261003,397.0,0.0,0.0,0.0,0.0,0.0,2011
908305000,Ipil,98305000.0,Mun,,,1st,,,,PH0908305,Ipil (Capital),,PH09083,PH09,PH,0.965681653959,0.0129663646928,158.172922522,749.0,26.56552259624004,0.03546798744491328,0.0,4.766822814941406,0.1089369015440656,2011
908306000,Kabasalan,98306000.0,Mun,,,2nd,,,,PH0908306,Kabasalan,,PH09083,PH09,PH,0.749669102923,0.0263025513986,320.796887121,1514.0,1.014362785965204,0.0006699886300959077,0.0,0.1268984079360962,6.529115286142558e-05,2011
908307000,Mabuhay,98307000.0,Mun,,,4th*,,,,PH0908307,Mabuhay,,PH09083,PH09,PH,1.20018680408,0.00654471349121,79.9078633206,374.0,0.0,0.0,0.0,0.0,0.0,2011
908308000,Malangas,98308000.0,Mun,,,3rd*,,,,PH0908308,Malangas,,PH09083,PH09,PH,1.02630146435,0.00992289738119,121.091469827,574.0,0.0,0.0,0.0,0.0,0.0,2011
